ID	rev_name	Day	Crop	Treatment	Addition	Sample_Location	16S	F1R2_Ave/g	CS001_Ave/g	F1R2/16S(%)	CS001/16S(%)	qnorB_Ave/g	qnorB/16S	cnorB_Ave/g	qnorB+cnorB	cnorB/16S	tot_nor/16S
67f	67f	86	Miscanthus	0N	Control	D87-F7	6314790601	11824766.29	10803603.26	0.001872551	0.001710841	212682253.9	0.033680017	555927166.1	768609420.1	0.088035725	0.121715741
68a	68a	0	Miscanthus	0N	Carbon	D0-F8	1056948074	3875268.19	3717123.71	0.00366647	0.003516846	70774146.46	0.066960855	376219442.2	446993588.6	0.355948841	0.422909696
68b	68b	4	Miscanthus	0N	Carbon	D5-F8	2153795319	8292533.45	6959376.04	0.003850196	0.003231215	79376273.66	0.03685414	686392291.9	765768565.5	0.318689657	0.355543797
68c	68c	15	Miscanthus	0N	Carbon	D11-F8	6297078202	18762304.12	13437361.52	0.002979525	0.002133904	238636286.3	0.037896351	981697633.5	1220333920	0.155897323	0.193793674
68d	68d	30	Miscanthus	0N	Carbon	D32-F8	10457425227	13214745.76	8862370.47	0.001263671	0.000847472	324615809.5	0.031041657	782156327.1	1106772137	0.07479435	0.105836008
68e	68e	59	Miscanthus	0N	Carbon	D60-F8	7439109359	46990194.27	16332072.26	0.006316642	0.002195434	329441780.7	0.044285111	1037292405	1366734185	0.139437714	0.183722825
68f	68f	86	Miscanthus	0N	Carbon	D87-F8	6335741120	44124384.8	11504593.45	0.00696436	0.001815824	206190894.2	0.032544084	533519328.5	739710222.6	0.08420788	0.116751965
69a	69a	0	Miscanthus	0N	Nitrogen	D0-F9	1774268614	8071649.93	8740744.79	0.004549283	0.004926393	118315799.2	0.066684265	594985915.7	713301715	0.33534151	0.402025775
69b	69b	4	Miscanthus	0N	Nitrogen	D5-F9	1925561495	7522546.55	7046767.81	0.003906677	0.003659591	76151649.52	0.039547763	697333408.1	773485057.7	0.362145488	0.401693251
69c	69c	15	Miscanthus	0N	Nitrogen	D11-F9	8194215226	20404315.9	17632814.95	0.002490088	0.002151861	347052669.5	0.042353375	1315640869	1662693538	0.160557275	0.20291065
69d	69d	30	Miscanthus	0N	Nitrogen	D32-F9	11328336662	16648608.39	12901439.31	0.001469643	0.001138864	353406875	0.031196714	920591893.7	1273998769	0.081264525	0.112461238
69e	69e	59	Miscanthus	0N	Nitrogen	D60-F9	8318612387	51690447.51	16937482.14	0.006213831	0.002036095	371960030.8	0.044714192	1120609384	1492569415	0.134711095	0.179425287
69f	69f	86	Miscanthus	0N	Nitrogen	D87-F9	6983120252	64717240.82	13318663.99	0.009267668	0.001907265	212260178.4	0.03039618	577133809	789393987.4	0.082646981	0.113043161
6a	6a	0	Corn	112N	Nitrogen	D0-A6	1680506069	11784114.09	13533578.83	0.007012241	0.008053276	100888586	0.060034645	405082195.2	505970781.2	0.241047743	0.301082389
6b	6b	4	Corn	112N	Nitrogen	D5-A6	7821807406	46777429.32	43519469.76	0.005980386	0.005563864	263953982.6	0.033745907	1619180970	1883134953	0.207008545	0.240754452
6c	6c	15	Corn	112N	Nitrogen	D11-A6	8632087548	71089069.21	64624156.26	0.008235443	0.007486504	372902168.9	0.043199535	1369663443	1742565612	0.158671171	0.201870707
6d	6d	30	Corn	112N	Nitrogen	D32-A6	10880827504	29491698.79	25262848.82	0.002710428	0.002321776	339727178.6	0.03122255	727016766.9	1066743945	0.066816312	0.098038862
6e	6e	59	Corn	112N	Nitrogen	D60-A6	4578601152	41403089.62	29263757.82	0.009042738	0.006391419	204601575.3	0.044686481	670648963.6	875250538.9	0.146474642	0.191161123
